Type,dept_id,dept_name,service_id,service_name,activity_id,activity_name,fund_id,fund_name,object_id,object_name,outcome_id,outcome_name,subobject_id,subobject_name,amount,FID
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,2,Other Personnel Costs,16,Responsible Stewardship of City Resources,212,Prescription Drugs (Classified),3290,1
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,2,Other Personnel Costs,16,Responsible Stewardship of City Resources,213,Vision Care (CUB),93,2
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,2,Other Personnel Costs,16,Responsible Stewardship of City Resources,231,FICA - Medicare Only,2543,3
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,2,Other Personnel Costs,16,Responsible Stewardship of City Resources,233,Survivor Benefits,430,4
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,2,Other Personnel Costs,16,Responsible Stewardship of City Resources,235,Dental,553,5
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,2,Other Personnel Costs,16,Responsible Stewardship of City Resources,236,FICA - Temporary and Part-Time,4866,6
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,3,Contractual Services,16,Responsible Stewardship of City Resources,301,Travel,547,7
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,3,Contractual Services,16,Responsible Stewardship of City Resources,305,Municipal Telephone Exchange,1359,8
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,3,Contractual Services,16,Responsible Stewardship of City Resources,310,Municipal Post Office,261,9
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,3,Contractual Services,16,Responsible Stewardship of City Resources,313,Rental of Real Property,5476,10
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,3,Contractual Services,16,Responsible Stewardship of City Resources,325,Rental of Operating Equipment,2010,11
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,3,Contractual Services,16,Responsible Stewardship of City Resources,326,Other Professional Services,2183,12
Expenditures,900,City Council  ,100,City Council,22,District 1,1001,General  ,3,Contractual Services,16,Responsible Stewardship of City Resources,333,Expense Account,7690,13
